Rank,Title,Year,Popularity,Rating,Votes
1,1917,2019,0,8.6,79081
2,Joker,2019,2,8.6,625397
3,Bad Boys for Life,2020,22,7.4,14659
4,Morbius,2020,236,0.0,0
5,Parasite,2019,2,8.6,161818
6,Birds of Prey: The Emancipation of Harley Quinn,2020,4,0.0,0
7,Little Women,2019,-1,8.2,30835
8,Once Upon a Time in Hollywood,2019,-5,7.8,346028
9,Jojo Rabbit,2019,4,8.0,54127
10,Star Wars: Episode IX - Der Aufstieg Skywalkers,2019,-8,6.9,236849
11,Die fantastische Reise des Dr. Dolittle,2020,25,5.6,4553
12,Knives Out - Mord ist Familiensache,2019,-7,8.0,126864
13,Bombshell - Das Ende des Schweigens,2019,2,6.8,18309
14,The Irishman,2019,-3,8.0,209428
15,Der Schwarze Diamant,2019,-6,8.0,30506
16,Marriage Story,2019,-4,8.1,134321
17,Underwater - Es ist erwacht,2020,-1,6.1,6059
18,Terminator: Dark Fate,2019,127,6.4,72897
19,The Gentlemen,2019,-1,8.1,8686
20,Der Leuchtturm,2019,-3,7.8,53857
21,Black Widow,2020,67,0.0,0
22,Tanhaji,2020,23,8.5,11863
23,Midsommar,2019,4,7.2,104411
24,Cats,2019,-16,2.8,23379
25,Le Mans 66: Gegen jede Chance,2019,-1,8.2,95743
26,Motherless Brooklyn,2019,273,7.0,13445
27,Chhapaak,2020,3,4.6,18371
28,Die zwei Päpste,2019,-6,7.6,54815
29,Jumanji - The Next Level,2019,-10,7.0,66547
30,6 Underground,2019,-10,6.1,88922
31,Aladdin,2019,6,7.0,175829
32,Just Mercy,2019,10,7.3,4829
33,Hustlers,2019,-7,6.4,46265
34,Avengers: Endgame,2019,-5,8.5,651152
35,James Bond 007: Keine Zeit zu sterben,2020,-1,0.0,0
36,Die Eiskönigin 2,2019,-13,7.2,60331
37,Midway - Für die Freiheit,2019,155,6.9,18987
38,Der Fall Richard Jewell,2019,14,7.6,11288
39,Maleficent: Mächte der Finsternis,2019,-11,6.7,45812
40,Like a Boss,2020,-9,4.3,1567
41,John Wick: Kapitel 3,2019,38,7.5,215346
42,Countdown,2019,-2,5.3,9445
43,Bad Boys - Harte Jungs,1995,100,6.9,217967
44,Ad Astra: Zu den Sternen,2019,-5,6.7,129926
45,Judy,2019,-10,7.0,15406
46,Jay and Silent Bob Reboot,2019,-13,5.9,6155
47,Leid und Herrlichkeit,2019,42,7.6,27233
48,Der wunderbare Mr. Rogers,2019,8,7.6,15020
49,Gemini Man,2019,6,5.7,46899
50,Harriet,2019,24,6.2,6401
51,The Grudge,2020,-30,4.0,4793
52,Es Kapitel 2,2019,1,6.7,150478
53,Color Out of Space,2019,277,6.2,2082
54,Star Wars - Episode VIII: Die letzten Jedi,2017,-16,7.0,520814
55,Wir,2019,38,6.9,177799
56,Zombieland 2: Doppelt hält besser,2019,-10,6.9,70855
57,Tenet,2020,-10,0.0,0
58,Troop Zero,2019,1052,7.1,1479
59,Bad Boys II,2003,253,6.6,214694
60,The Lovebirds,2020,6209,0.0,0
61,Dark Waters,2019,264,7.6,6210
62,Bloodshot,2020,319,0.0,0
63,Booksmart,2019,-13,7.2,59933
64,Eternals,2020,26,0.0,0
65,Betty und ihre Schwestern,1994,-3,7.3,46914
66,A Fall from Grace,2020,810,5.9,2838
67,Sonic the Hedgehog,2020,68,0.0,0
68,"Ready or Not - Auf die Plätze, fertig, tot",2019,-4,6.9,57846
69,The King,2019,-11,7.3,59878
70,Ein verborgenes Leben,2019,97,7.7,3872
71,Die Besessenen,2020,49,6.3,23
72,Spione Undercover - Eine wilde Verwandlung,2019,-21,6.8,5507
73,The Farewell,2019,-41,7.7,25124
74,Guns Akimbo,2019,532,7.6,1073
75,Rocketman,2019,-34,7.4,91178
76,Inception,2010,-13,8.8,1914679
77,Yip Man 4,2019,-28,7.4,3833
78,Hänsel und Gretel: Hexenjäger 2,2020,-5,0.0,0
79,Dolemite Is My Name,2019,-18,7.3,35026
80,Suicide Squad,2016,95,6.0,559867
81,Der König der Löwen,2019,0,7.0,157119
82,The Rhythm Section,2020,398,0.0,0
83,Die Verurteilten,1994,3,9.3,2182838
84,Togo,2019,-27,8.1,13306
85,"Weathering with You - Das Mädchen, das die Sonne berührte",2019,182,7.7,6631
86,Code 8,2019,-11,6.1,9957
87,"Long Shot - Unwahrscheinlich, aber nicht unmöglich",2019,-21,6.9,66920
88,Porträt einer jungen Frau in Flammen,2019,-11,8.3,12518
89,Krieg der Sterne,1977,-20,8.6,1168544
90,Fighting with My Family,2019,9,7.1,48625
91,Alien: Covenant,2017,252,6.4,237735
92,Star Wars: Episode I - Die dunkle Bedrohung,1999,-27,6.5,689399
93,Green Book: Eine besondere Freundschaft,2018,19,8.2,281667
94,New Mutants,2020,-80,0.0,0
95,Shazam!,2019,-36,7.1,209179
96,Downton Abbey,2019,12,7.5,25080
97,Harry Potter und der Stein der Weisen,2001,0,7.6,592710
98,Rambo: Last Blood,2019,3,6.2,51808
99,The Wolf of Wall Street,2013,7,8.2,1084328
100,Es war einmal in Amerika,1984,379,8.4,289652
